RHEA_ID,Protein,Stoichiometry,Subunit,KEGG_ID,EC,DeltaG,RevIndex
RHEA:41863,SAPIG2141,1,0,R04535,2.3.1.85        2.3.1.86        2.3.1.-         4.2.1.59,,
RHEA:59139,SAPIG2241,1,0,R12353,6.3.2.58,,
RHEA:22675,SAPIG2613,1,0,R00702,2.5.1.21        2.5.1.96        2.5.1.103,-159.0599492683557,-32.09925896182409
RHEA:41855,SAPIG0980,1,0,R04960,2.3.1.41        2.3.1.85        2.3.1.86        2.3.1.179,,
RHEA:42291,SAPIG2477,1,0,R03210,2.3.1.47,,
RHEA:41847,SAPIG2141,1,0,R04537,2.3.1.85        2.3.1.86        2.3.1.-         4.2.1.59,,
RHEA:24796,SAPIG2724,1,1,R04558,4.3.2.10,216.437287990567,34.94268211783609
RHEA:24796,SAPIG2726,1,1,R04558,4.3.2.10,216.437287990567,34.94268211783609
RHEA:22091,SAPIG1001,1,0,R00429,2.7.6.5,,
RHEA:22091,SAPIG1697,1,0,R00429,2.7.6.5,,
RHEA:22091,SAPIG2559,1,0,R00429,2.7.6.5,,
RHEA:34174,SAPIG1396,1,0,R10147,4.3.3.7,-84.63305655954193,-22.772616335174526
RHEA:16040,SAPIG2178,1,0,R01570,2.4.2.2         2.4.2.4,7.440972088386104,1.5016331332398378
RHEA:21363,SAPIG1659,1,0,R00137,2.7.7.1         2.7.7.18,-3.1255348103970846,-0.6307518123488518
RHEA:30758,SAPIG1164,1,0,R01395,2.7.2.2         6.3.5.5,16.82874852082125,3.3961431476498283
RHEA:30758,SAPIG2682,1,0,R01395,2.7.2.2         6.3.5.5,16.82874852082125,3.3961431476498283
RHEA:30758,SAPIG1199,1,1,R01395,2.7.2.2         6.3.5.5,16.82874852082125,3.3961431476498283
RHEA:30758,SAPIG1200,1,1,R01395,2.7.2.2         6.3.5.5,16.82874852082125,3.3961431476498283
RHEA:28675,SAPIG2391,1,0,R10619,5.1.3.3,-5.399309190526424,-2.1792264453606807
RHEA:15616,SAPIG2667,1,0,R03947,1.3.1.76,-45.84332061131386,-9.25145913060622
RHEA:25081,SAPIG2097,1,0,R01652,1.1.1.85,-31.07013248330881,-8.360187322640927
