Type,Metabolite,CHEBI,Protein,Stoichiometry,Subunit
Symport,malonate/Na,CHEBI:15792/CHEBI:29101,,1,
Symport,malonate/Na,CHEBI:15792/CHEBI:29101,,1,
Symport,gluconate/H,CHEBI:18391/CHEBI:15378,,1,
Symport,gluconate/H,CHEBI:18391/CHEBI:15378,,1,
Symport,gluconate/H,CHEBI:18391/CHEBI:15378,,1,
Symport,gluconate/H,CHEBI:18391/CHEBI:15378,,1,
Symport,citrate/H,CHEBI:16947/CHEBI:15378,,1,
Symport,citrate/H,CHEBI:16947/CHEBI:15378,,1,
Symport,aconitate/H,CHEBI:16383/CHEBI:15378,,1,
Symport,aconitate/H,CHEBI:16383/CHEBI:15378,,1,
Symport,D-threo-isocitrate/H,CHEBI:15562/CHEBI:15378,,1,
Symport,D-threo-isocitrate/H,CHEBI:15562/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,acetate/H,CHEBI:30089/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,asparate/H,CHEBI:29991/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,malate/H,CHEBI:15589/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
Symport,fumarate/H,CHEBI:29806/CHEBI:15378,,1,
